Location,Latitude,Longitude
Burnett Street - Bradford,53.795739,-1.744756
Britannia Street - Bradford,53.789251,-1.750795
Sharp Street - Bradford,53.789785,-1.756187
Crown Court - Bradford,53.792179,-1.748466
Pine Street - Bradford,53.797767,-1.746399
Simes Street - Bradford,53.79744,-1.758641
St.Thomas Road - Bradford,53.796672,-1.761508
Westgate - Bradford,53.796291,-1.759143
Wigan Street - Bradford,53.796329,-1.762121
Radwell Drive - Bradford,53.788478,-1.755676
Ralphael House - Bradford,53.789743,-1.756656
Rawson Road - Bradford,53.797252,-1.758178
Atkinson Street - Bradford,53.834774,-1.778376
Briggate - Shipley,53.834827,-1.773806
Market Place - Shipley,53.833127,-1.777216
Saville - Shipley,53.834189,-1.780252
Ian Clough - Baildon,53.852982,-1.767488
The Grove - Baildon,53.8537,-1.766686
Shipley Pool - Shipley ,53.832632,-1.783284
Westcliffe Road - Shipley ,53.831302,-1.7796
Wharf Street - Shipley,53.835736,-1.778586
Caroline Street - Shipley,53.837753,-1.791592
Exhibition Road - Shipley,53.836428,-1.788668
Bingley Arts Centre - Bingley ,53.847455,-1.839041
Ferncliffe Road - Bingley,53.847416,-1.835391
Main Street - Bingley ,53.85009,-1.839291
Queen Street - Bingley ,53.848288,-1.840004
Victoria Street - Bingley,53.846705,-1.835479
Waterloo - Bingley,53.848402,-1.836707
Wellington - Bingley,53.848584,-1.83755
Church Green - Keighley ,53.865487,-1.909187
Scott Street - Keighley,53.869,-1.912989
Bronte Village - Haworth,53.828084,-1.954721
Gas Street - Haworth,53.831488,-1.9473
Museum - Haworth,53.828084,-1.954721
South Hawksworth Street - Ilkley,53.925171,-1.825905
Esholt - Ilkley,53.859975,-1.725698
Bridge Street - Silden,53.915238,-1.938391
Wesley Place - Silden ,53.914474,-1.937556
Jacobs Well - Bradford, 53.790368, -1.753271
