HWRC Site,Address,Address 2,Town,County,Postcode,Longitude,Latitude
Settle HWRC,Sowarth Field Industrial Estate,,Settle,North Yorkshire,BD24 9AB,-2.28347,54.066
Harrogate (Stonefall) HWRC,Wetherby Road,,Harrogate,North Yorkshire,HG3 1DE,-1.49552,53.9861
Tadcaster HWRC,Station Road Industrial Estate,,Tadcaster,North Yorkshire,LS24 9SG,-1.26739,53.8828
Tholthorpe HWRC,Flawith Lane,Tholthorpe,Easingwold,North Yorkshire,YO62 7RR,-1.27193,54.0896
Ripon HWRC,Dallamires Crescent,Dallamires Lane,Ripon,North Yorkshire,HG4 1TT,-1.51155,54.1283
Sowerby HWRC,Ox Moor Plantation Lane,Sowerby,Thirsk,North Yorkshire,YO7 1FA,-1.33531,54.2151
Leyburn HWRC,Off Moor Lane,,Leyburn,North Yorkshire,DL8 5LA,-1.84492,54.3138
Leeming Bar HWRC,Tutin Road,Leeming Bar Industrial Estate,Leeming Bar,North Yorkshire,DL7 9UJ,-1.56603,54.3071
Catterick Bridge HWRC,Gatherley Road,,Catterick Bridge,North Yorkshire,DL10 7JQ,-1.64841,54.396
Northallerton HWRC,Yafforth Road,,Northallerton,North Yorkshire,DL7 0LG,-1.45051,54.346
Stokesley HWRC,South Western Plot,Ellerbeck Court,Stokesley,North Yorkshire,TS9 5PT,-1.17594,54.4608
Wombleton HWRC,Cockerhill Lane,,Wombleton,North Yorkshire,YO62 7RJ,-0.977454,54.2516
Selby HWRC,Canal Road,,Selby,North Yorkshire,YO8 8AG,-1.05967,53.7806
Malton HWRC,Pasture Lane,,Malton,North Yorkshire,YO17 6YF,-0.794727,54.1407
Seamer Carr HWRC,Dunslow Road,,Eastfield,North Yorkshire,YO12 4QA,-0.416841,54.2233
Burniston HWRC,Coastal Road,Burniston,Scarborough,North Yorkshire,YO13 0DA,-0.432853,54.3133
Whitby HWRC,Chomley Way,Whitby Industrial Estate,Whitby,North Yorkshire,YO22 4NJ,-0.59869,54.4726
Harrogate (Pennypot) HWRC,,,Harrogate,North Yorkshire,,-1.6148,53.9979
